GIS Status,AHJ: Name,# Potential Sites w/IX,Buildable Site Acreage w/IX,Site Acreage w/IX,Buildable Acreage Per Site,Campaign Owner: Full Name,AHJ: GEOID,AHJ: Market: Market Name,Utility: Utility  Name
Identified,Henry County,255,8871.29,10049.39,39.41,,19087,Iowa,Interstate Power and Light Company
Identified,Lucas County,95,8767.13,11870.28,124.95,,19117,Iowa,Interstate Power and Light Company
Identified,Shelby County,257,7920.57,9331.08,36.31,,19165,Iowa,MidAmerican Energy
Identified,Fremont County,225,7021.24,8212.36,36.5,,19071,Iowa,MidAmerican Energy
Identified,Van Buren County,188,6116.31,7268.6,38.66,,19177,Iowa,Interstate Power and Light Company
Identified,Clarke County,190,5760.5,6827.27,35.93,,19039,Iowa,Interstate Power and Light Company
Identified,Guthrie County,149,4513.42,5389.28,36.17,,19077,Iowa,Interstate Power and Light Company
Identified,Cerro Gordo County,43,4389.43,4978.89,115.79,,19033,Iowa,MidAmerican Energy
Identified,Linn County,35,4000.26,5573.6,159.25,TJ Ozomoru,19113,Iowa,Interstate Power and Light Company
Identified,Linn County,35,4000.26,5573.6,159.25,TJ Ozomoru,19113,Iowa,Interstate Power and Light Company
Identified,Sioux County,103,3150.76,3552.92,34.49,,19167,Iowa,MidAmerican Energy
Identified,Grundy County,31,2966.14,3248.24,104.78,,19075,Iowa,MidAmerican Energy
Identified,Madison County,97,2813.51,3494.37,36.02,,19121,Iowa,Interstate Power and Light Company
Identified,Buchanan County,84,2660.65,2957.28,35.21,,19019,Iowa,MidAmerican Energy
Identified,Chickasaw County,38,2548.89,3042.16,80.06,,19037,Iowa,MidAmerican Energy
Identified,Hamilton County,68,2218.79,2421.5,35.61,,19079,Iowa,MidAmerican Energy
Identified,Howard County,22,2207.73,2534.49,115.2,,19089,Iowa,Interstate Power and Light Company
Identified,Pocahontas County,61,2131.36,2358.04,38.66,,19151,Iowa,MidAmerican Energy
Identified,Franklin County,13,1774.74,1932.71,148.67,,19069,Iowa,Interstate Power and Light Company
Identified,Mills County,39,1611.75,1860.69,47.71,TJ Ozomoru,19129,Iowa,MidAmerican Energy
Identified,Adams County,45,1533.25,1808.82,40.2,,19003,Iowa,MidAmerican Energy
Identified,Kossuth County,42,1346.86,1503.78,35.8,,19109,Iowa,MidAmerican Energy
Identified,Monroe County,42,1285.42,1570.54,37.39,,19135,Iowa,Interstate Power and Light Company
Identified,Monroe County,35,1124.52,1408.55,40.24,,19135,Iowa,MidAmerican Energy
Identified,Adair County,9,1082.15,1222.51,135.83,,19001,Iowa,Interstate Power and Light Company
Identified,Polk County,10,1063.35,1138.89,113.89,,19153,Iowa,Interstate Power and Light Company
Identified,Franklin County,10,998.08,1080.12,108.01,,19069,Iowa,MidAmerican Energy
